"element_id","sentence_id","negative","neutral","positive","sentence"
"x1330","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1331","x1",NA,"again and how to the lions for yet another hil csk yellove togetherwewin htt","win congratulations victory","win again and how Congratulations to the Lions for yet another victory 
HIL CSK Yellove TogetherWeWin htt"
"x1332","x1","struggled","rajasthan royals and scored but kkr the game in just th th over over csk had to to go against","won win","Rajasthan Royals struggled and scored but KKR won the game in just th over CSK had to go th over to win against"
"x1333","x1",NA,"csk becomes the the st team to get double digit points points in in ipl also their no spot table","reclaim","CSK becomes the st Team to get double digit points in IPL

Also reclaim their No spot in the Points Table"
"x1334","x1","fire","rayudu raina jadhav yet to each one form and things as we approach finale i see a last","hopefully gains improve","Rayudu Raina Jadhav yet to fire
Hopefully each one gains form and things improve As we approach Finale

I see a last"
"x1335","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1336","x1",NA,"once again the the the chepauk pitchcurator plays a innings in in this test match nevertheless chennai crowd","vital","Once again the chepauk pitchcurator plays a vital innings in this TEST match Nevertheless the chennai crowd in the"
"x1337","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1338","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1339","x1","breaking lost","news csk in zomato leageipl cskvskkr","premiere","breaking news
 CSK lost in Zomato Premiere LeageIPL CSKvsKKR"
"x1340","x1",NA,"for csk though the match had its moments on a pitch if this nature batsmen getting knocks russ","easy win substantial","Easy win for CSK though the match had its moments On a pitch if this nature batsmen getting substantial knocks Russ"
"x1341","x1",NA,"csk csk be kkr cskvkkr","like","Csk be like kkr

CSKvKKR CSK"
"x1342","x1",NA,"again and how to the lions for yet another hil csk yellove","win congratulations victory","win again and how Congratulations to the Lions for yet another victory 
HIL CSK Yellove"
"x1343","x1",NA,"csk of the table galattamemes cskvkkr","top","CSK Top of the table 
GalattaMemes CSKvKKR"
"x1344","x1","unbelievable","watch video superfast stumping from dhoni it just took that many seconds","super king","Watch Video Superfast Stumping from Super King Dhoni
It just took that many seconds Unbelievable"
